strike,expiry,T,option_type,moneyness,market_iv,model_iv,iv_error,abs_error
687.0,2026-04-17,0.10684931506849316,call,-0.021510628068153743,0.19193362905715508,0.21599222885726121,0.024058599800106134,0.024058599800106134
707.0,2026-04-17,0.10684931506849316,call,-0.05020700174237725,0.15607025838020028,0.19267072964104684,0.03660047126084656,0.03660047126084656
575.0,2026-04-17,0.10684931506849316,put,0.15645362335684515,0.391980754427341,0.3080582146996494,-0.08392253972769159,0.08392253972769159
672.0,2026-04-30,0.14246575342465753,call,0.0005653236310460574,0.21228860938997476,0.22843683942435752,0.01614823003438276,0.01614823003438276
672.0,2026-04-30,0.14246575342465753,put,0.0005653236310460574,0.23200327185378053,0.22843683942435583,-0.0035664324294246985,0.0035664324294246985
673.0,2026-04-30,0.14246575342465753,put,-0.0009216654905322943,0.23073773481779453,0.22750902788505398,-0.0032287069327405493,0.0032287069327405493
673.0,2026-04-30,0.14246575342465753,call,-0.0009216654905322943,0.2107598299985904,0.22750902788505512,0.01674919788646473,0.01674919788646473
671.0,2026-04-30,0.14246575342465753,call,0.002054527182513703,0.21370046821665373,0.2293533568593386,0.01565288864268488,0.01565288864268488
690.0,2026-04-30,0.14246575342465753,call,-0.025867933437109553,0.1848443009294107,0.21102207535892697,0.02617777442951627,0.02617777442951627
634.0,2026-04-30,0.14246575342465753,put,0.058774709716969666,0.2842113067450426,0.2603576281592716,-0.023853678585770977,0.023853678585770977
575.0,2026-04-30,0.14246575342465753,put,0.15645362335684515,0.36506745217541386,0.30323540486561773,-0.061832047309796134,0.061832047309796134
672.0,2026-05-15,0.18356164383561643,call,0.0005653236310460574,0.2104346166064052,0.22568807653379658,0.015253459927391383,0.015253459927391383
672.0,2026-05-15,0.18356164383561643,put,0.0005653236310460574,0.227042563768094,0.22568807653379758,-0.001354487234296431,0.001354487234296431
673.0,2026-05-15,0.18356164383561643,put,-0.0009216654905322943,0.22577336290248085,0.2248318138732865,-0.0009415490291943551,0.0009415490291943551
673.0,2026-05-15,0.18356164383561643,call,-0.0009216654905322943,0.20913838364161674,0.2248318138732865,0.015693430231669747,0.015693430231669747
671.0,2026-05-15,0.18356164383561643,call,0.002054527182513703,0.211722619875243,0.22654260510703603,0.014819985231793037,0.014819985231793037
685.0,2026-05-15,0.18356164383561643,put,-0.018595174108029747,0.21268914921414492,0.21411747594606878,0.0014283267319238624,0.0014283267319238624
703.0,2026-05-15,0.18356164383561643,call,-0.044533227656469346,0.16953264398108045,0.19656022299433665,0.027027579013256198,0.027027579013256198
575.0,2026-05-15,0.18356164383561643,put,0.15645362335684515,0.3468171878245406,0.2972665428462232,-0.04955064497831735,0.04955064497831735
672.0,2026-05-29,0.2219178082191781,put,0.0005653236310460574,0.22246494604582728,0.22365120103901098,0.0011862549931836996,0.0011862549931836996
673.0,2026-05-29,0.2219178082191781,call,-0.0009216654905322943,0.20573985174380754,0.2228267782850631,0.017086926541255543,0.017086926541255543
673.0,2026-05-29,0.2219178082191781,put,-0.0009216654905322943,0.22144837427622882,0.22282677828506217,0.0013784040088333505,0.0013784040088333505
671.0,2026-05-29,0.2219178082191781,put,0.002054527182513703,0.2235204166887122,0.22447197732172203,0.0009515606330098292,0.0009515606330098292
674.0,2026-05-29,0.2219178082191781,put,-0.00240644675811147,0.2203505999288419,0.2219992268811,0.001648626952258092,0.001648626952258092
685.0,2026-05-29,0.2219178082191781,put,-0.018595174108029747,0.20896967047745427,0.21274224240972742,0.00377257193227315,0.00377257193227315
636.0,2026-05-29,0.2219178082191781,put,0.05562510081407333,0.26213799593184417,0.25116893104432286,-0.010969064887521307,0.010969064887521307
575.0,2026-05-29,0.2219178082191781,put,0.15645362335684515,0.3317473972486571,0.2923963456966021,-0.03935105155205498,0.03935105155205498
670.0,2026-06-18,0.27671232876712326,call,0.0035459517691838593,0.20698285553573492,0.22278923795734384,0.015806382421608922,0.015806382421608922
670.0,2026-06-18,0.27671232876712326,put,0.0035459517691838593,0.2216725743712013,0.22278923795734426,0.0011166635861429575,0.0011166635861429575
675.0,2026-06-18,0.27671232876712326,put,-0.0038890267183342253,0.21688676200717807,0.21903533408541778,0.0021485720782397077,0.0021485720782397077
675.0,2026-06-18,0.27671232876712326,call,-0.0038890267183342253,0.19998787125526593,0.219035334085417,0.019047462830151074,0.019047462830151074
665.0,2026-06-18,0.27671232876712326,call,0.011036623498341353,0.20994912234657928,0.22649973879026972,0.016550616443690436,0.016550616443690436
645.0,2026-06-18,0.27671232876712326,put,0.041573347358422975,0.24661949313955212,0.24077918215344432,-0.005840310986107794,0.005840310986107794
735.0,2026-06-18,0.27671232876712326,call,-0.08904683505864114,0.14196815998951617,0.16707974318334695,0.025111583193830778,0.025111583193830778
575.0,2026-06-18,0.27671232876712326,put,0.15645362335684515,0.31892186804752237,0.28607091743883417,-0.0328509506086882,0.0328509506086882
670.0,2026-06-30,0.3095890410958904,call,0.0035459517691838593,0.19659044873913792,0.22161759995300376,0.02502715121386584,0.02502715121386584
670.0,2026-06-30,0.3095890410958904,put,0.0035459517691838593,0.21982342924684925,0.22161759995300376,0.0017941707061545076,0.0017941707061545076
675.0,2026-06-30,0.3095890410958904,put,-0.0038890267183342253,0.21531719324041781,0.21802455253729985,0.0027073592968820392,0.0027073592968820392
675.0,2026-06-30,0.3095890410958904,call,-0.0038890267183342253,0.19376093567207328,0.2180245525372991,0.024263616865225823,0.024263616865225823
665.0,2026-06-30,0.3095890410958904,call,0.011036623498341353,0.20527466683247841,0.22515718203160812,0.019882515199129702,0.019882515199129702
705.0,2026-06-30,0.3095890410958904,call,-0.04737413865807312,0.16447966150137197,0.1952578010715023,0.030778139570130342,0.030778139570130342
730.0,2026-06-30,0.3095890410958904,call,-0.08222086998824128,0.14351436596198677,0.17414427134714244,0.03062990538515567,0.03062990538515567
575.0,2026-06-30,0.3095890410958904,put,0.15645362335684515,0.3115915680447197,0.2826460593632207,-0.028945508681499033,0.028945508681499033
671.0,2026-07-31,0.39452054794520547,put,0.002054527182513703,0.21880233747710592,0.21876662248195716,-3.57149951487612e-05,3.57149951487612e-05
670.0,2026-07-31,0.39452054794520547,put,0.0035459517691838593,0.21962969240750266,0.21939753582640645,-0.00023215658109621007,0.00023215658109621007
